symbol,name,area,type,description,row,col,hierarchy,level,lifecycle,skillType,long_description
RC,Roadmap Communication,roadmaps,Behavior,"Explain roadmap priorities in simple terms",2,4,junior,junior,planning,communication,"What it is: Communicate roadmap content in a way that different audiences can understand, including business, IT, QA, and vendors. Why it matters: A roadmap only helps if people understand why certain themes come first and others later. In GxP settings, communication must make dependencies and compliance implications visible. For someone outside the field, this is about turning a complex technical or compliance-heavy plan into a story people can follow. Example: Explaining that a workflow enhancement is planned later because a prerequisite release must first establish controlled user-role logic."
RO,Roadmap Ownership,roadmaps,Behavior,"Own and maintain the roadmap actively",5,5,mid,mid,planning,execution,"What it is: Create, update, and actively manage the roadmap as a living product artifact rather than a static presentation slide. Why it matters: Mid-level PMs must move beyond understanding roadmaps and start owning them. In regulated environments, roadmap ownership means continuously balancing requests, technical constraints, compliance obligations, and stakeholder expectations. For non-experts, this means the roadmap is not just planned once — it is continuously steered as reality changes. Example: Updating the roadmap after a validation finding shows that a planned release needs additional controls or redesign."
VP,Validation-aware Planning,roadmaps,Behavior,"Plan roadmap items with validation effort in mind",5,6,mid,mid,planning,technical,"What it is: Build roadmap decisions with explicit awareness of validation effort, documentation impact, and test obligations. Why it matters: In GxP product management, the effort of a feature is not only build effort — it may also include re-validation, test evidence, approvals, and training. For people outside the domain, this means that one seemingly small product change can create significant additional controlled work. Example: Grouping related workflow changes into one release to reduce repeated validation effort instead of shipping them separately."
CI,Change Impact Assessment,roadmaps,Behavior,"Assess how roadmap changes affect system, process, and compliance",4,4,mid,mid,planning,thinking,"What it is: Evaluate the downstream consequences of a proposed change before committing it to the roadmap. Why it matters: Mid-level PMs must understand that roadmap decisions affect not just functionality, but also SOPs, training, documentation, vendor coordination, and audit readiness. For non-specialists, this means that a roadmap change is not just a feature decision — it can change how people work and how the product is judged in audits or inspections. Example: Assessing whether a new automated approval step would alter electronic-signature handling and therefore require broader review."
PR,Portfolio Roadmapping,roadmaps,Behavior,"Align multiple roadmaps across products or domains",9,6,senior,senior,strategy,thinking,"What it is: Coordinate and prioritize across several products, systems, or capabilities instead of only one product backlog. Why it matters: Senior PMs often work above the level of a single system and must ensure products move together in a coherent direction. In GxP settings, this is especially important when several validated systems support one regulated end-to-end process. For non-experts, this means ensuring different tools evolve in a coordinated way rather than creating conflicting change waves. Example: Aligning roadmap decisions across QMS, quality docs, and audit-management capabilities to support one inspection-readiness objective."
RP,Regulatory Planning Strategy,roadmaps,Behavior,"Align roadmap with audits, inspections, and compliance constraints",7,4,senior,senior,strategy,thinking,"What it is: Plan roadmap movement with explicit consideration of regulatory timelines, audit needs, inspection risks, and controlled process obligations. Why it matters: Senior PMs must anticipate when compliance events or validation cycles should shape the roadmap. For non-specialists, this means the roadmap is influenced not only by product demand, but also by external scrutiny and mandatory control expectations. Example: Prioritizing evidence-related reporting enhancements before a known inspection window."
TR,Transformation Roadmapping,roadmaps,Behavior,"Define roadmap for larger transformation journeys",8,5,senior,senior,strategy,communication,"What it is: Create and communicate a roadmap that supports broad change across systems, teams, or operating models. Why it matters: At senior level, the roadmap often becomes a transformation instrument, not just a delivery plan. In regulated environments, transformation must still preserve validated state and user adoption. For non-experts, this means that large changes require a sequenced journey instead of one big switch. Example: Phasing the transition from siloed compliance tools to a more integrated platform while keeping operations inspection-ready throughout the change."
UN,User Needs Understanding,design-discovery,Behavior,"Understand user needs and context",1,7,junior,junior,discovery,thinking,"What it is: Identify who the users are and what they need to accomplish in their daily work. Why it matters: In GxP environments, users operate within controlled processes, so understanding their context is key to designing meaningful solutions. Example: Understanding how QA users handle deviations before changing a workflow screen."

UR,User Requirements Basics,design-discovery,Behavior,"Capture requirements in a structured way",1,8,junior,junior,planning,communication,"What it is: Translate user input into structured and understandable requirements. Why it matters: In regulated environments, requirements form the basis for testing, validation, and audit evidence. Example: Writing clear requirements for audit-trail visibility that can later be verified in testing."

PF,Problem Framing,design-discovery,Behavior,"Frame problems before proposing solutions",1,9,junior,junior,discovery,thinking,"What it is: Clearly define what problem is being solved. Why it matters: Avoids solving symptoms instead of root causes. Example: Realizing that 'users want a dashboard' is actually a visibility problem about audit data."

IS,Interviewing Stakeholders,design-discovery,Behavior,"Collect insights through interviews",2,7,junior,junior,discovery,communication,"What it is: Ask the right questions to understand user pain points. Why it matters: Discovery depends on real insights, not assumptions. Example: Interviewing process owners before redesigning a CAPA workflow."

DS,Design Thinking,design-discovery,Behavior,"Use Design Thinking Methodology",2,8,junior,junior,discovery,thinking,"What it is: Design thinking is a mindset and methodology for solving complex problems by focusing on the needs of people, the possibilities of technology, and the requirements for business success. Why it matters: Unlike traditional problem-solving approaches that focus on the problem itself, design thinking is solution-oriented and user-centric, encouraging teams to explore creative solutions that are both novel and useful."

RH,Requirement Hygiene,design-discovery,Behavior,"Ensure requirements are clear and testable",5,9,mid,mid,planning,execution,"What it is: Define requirements so they are unambiguous and testable. Why it matters: Poor requirements lead to validation issues. Example: Writing acceptance criteria that QA can verify without interpretation."

DX,Discovery Execution,design-discovery,Behavior,"Plan and run structured discovery phases",4,7,mid,mid,discovery,execution,"What it is: Organize discovery work, including research, hypotheses, and validation. Why it matters: Discovery must be systematic, not random. Example: Running a structured discovery phase before major roadmap decisions."

PD,Prototyping and MVPs,design-discovery,Behavior,"Use prototypes to validate ideas",4,8,mid,mid,discovery,execution,"What it is: Create simplified versions of solutions to test early. Why it matters: Reduces risk before full build. Example: Testing a UI concept before implementation in a validated system."

HT,Hypothesis Thinking,design-discovery,Behavior,"Turn uncertainties into testable hypotheses",4,9,mid,mid,discovery,thinking,"What it is: Formulate assumptions explicitly and validate them. Why it matters: Enables targeted learning instead of guessing. Example: Testing whether users struggle more with workflow logic or UI layout."

TR,Traceability Awareness,design-discovery,Behavior,"Understand requirement traceability",5,7,mid,mid,execution,technical,"What it is: Ensure requirements can be tracked from origin to validation. Why it matters: Traceability is a regulatory expectation in GxP systems. Example: Linking user requirements to test cases and validation evidence."

UX,UX Optimization in Constraints,design-discovery,Behavior,"Design within regulatory and system constraints",6,9,mid,mid,execution,thinking,"What it is: Improve usability without breaking compliance rules. Why it matters: Not all good UX ideas are allowed in regulated systems. Example: Improving navigation without removing audit-relevant fields."

--

CS,Capability Discovery,design-discovery,Behavior,"Identify broader capability needs",7,7,senior,senior,strategy,thinking,"What it is: Move beyond individual features and identify underlying capabilities. Why it matters: Senior PMs shape platforms, not just features. Example: Recognizing need for a global audit-trail capability."

DS,Discovery Strategy,design-discovery,Behavior,"Define approach for discovery across initiatives",7,8,senior,senior,strategy,thinking,"What it is: Establish how discovery is done systematically across products. Why it matters: Ensures consistent product quality. Example: Defining standard discovery practices across teams."

RG,Regulated Discovery Design,design-discovery,Behavior,"Adapt discovery for GxP constraints",8,7,senior,senior,strategy,technical,"What it is: Design discovery processes that respect regulatory boundaries. Why it matters: Some experiments may not be allowed in regulated contexts. Example: Avoiding unvalidated prototypes in critical workflows."

ST,Standardization Strategy,design-discovery,Behavior,"Standardize requirement and discovery practices",8,8,senior,senior,strategy,thinking,"What it is: Define consistent ways of working. Why it matters: Standardization improves scalability and auditability. Example: Introducing structured requirement templates."

TF,Future Discovery Design,design-discovery,AI,"Leverage AI for discovery at scale",9,8,ai,senior,strategy,technical,"What it is: Use AI to enhance research, synthesis, and insight generation. Why it matters: Enables faster learning but requires governance. Example: Using AI to cluster feedback across systems."

AR,AI-assisted Requirement Design,design-discovery,AI,"Support requirement creation with AI",9,9,ai,senior,execution,technical,"What it is: Use AI to improve requirement structuring and completeness. Why it matters: Increases efficiency but requires validation. Example: AI suggesting acceptance criteria which are then refined manually."
BE,Backlog Execution,product-delivery,Behavior,"Execute backlog items reliably",1,10,junior,junior,execution,execution,"What it is: Work through backlog items in a structured and reliable way, ensuring that tasks are clearly understood and completed. Why it matters: Product delivery starts with disciplined execution. In GxP environments, even small tasks must be done correctly because they may affect validated systems. Example: Making sure a workflow adjustment is implemented exactly as specified."
AC,Acceptance Criteria Understanding,product-delivery,Behavior,"Understand and apply acceptance criteria",1,11,junior,junior,execution,thinking,"What it is: Understand what defines success for a feature or task. Why it matters: Acceptance criteria define whether something is 'done'. In GxP, this becomes critical for testing and validation. Example: Ensuring that audit-trail entries meet defined acceptance criteria."
FA,Financials Basic Understanding,product-delivery,Behavior,"Understand basics of financials",2,10,junior,junior,execution,technical,"What it is: Structured financial planning and continuous tracking of budgets, costs, and forecasts within a project. Why it matters: Ensures that resources are used efficiently and the project remains financially viable, while enabling early detection of overruns. Example: A project manager tracks actual costs vs. planned budget monthly and initiates corrective actions when deviations occur."
TS,Testing Awareness,product-delivery,Behavior,"Understand role of testing in delivery",2,11,junior,junior,execution,technical,"What it is: Understand basic testing concepts and why testing is required. Why it matters: In regulated environments, testing is essential to demonstrate that systems work as intended. Example: Recognizing that a workflow change requires defined test cases."
RD,Release & Documentation Discipline,product-delivery,Behavior,"Understand controlled releases & Documentation impact",2,12,junior,junior,execution,execution,"What it is: Understand that releases must follow a structured process and that documentation is maintained as part of delivery. Why it matters: Releases in GxP are controlled activities involving approval, documentation, and validation. Example: Knowing that software cannot be deployed without proper approvals."
CH,Change Awareness,product-delivery,Behavior,"Understand change impact basics",3,10,junior,junior,execution,thinking,"What it is: Recognize that even small changes can have broader consequences. Why it matters: In regulated systems, changes affect compliance and validation. Example: Understanding that modifying a field may affect audit trails."
PM,PM Methodologies,product-delivery,Behavior,"Understand pros and cons of different PM Methodologies",3,12,junior,junior,execution,communication,"What it is: Solid understanding of different PM Methodologies like classic Waterfall vs. Agile (e.g. Scrum). Why it matters: Different PM Methodologies have their pros and cons. Knowledge about the different approaches help to effectively apply them for PM activities.  Example: In our environments we often use hybrid approaches, more agile during the actual application development/implementation but waterfall for subsequent validation/testing phases."

RM,Release Management,product-delivery,Behavior,"Manage full release lifecycle",4,10,mid,mid,execution,execution,"What it is: Plan and manage releases end-to-end, from development to deployment. Why it matters: Releases in GxP must include validation, documentation, and approval. Example: Coordinating testing, approvals, and deployment activities."
CC,Change Control,product-delivery,Behavior,"Manage controlled changes",4,11,mid,mid,execution,technical,"What it is: Ensure all system changes follow a formal change-control process. Why it matters: Change control is a core GxP requirement and ensures traceability. Example: Logging, approving, and tracking system changes."
VT,Validation Execution,product-delivery,Behavior,"Execute validation activities",4,12,mid,mid,execution,technical,"What it is: Coordinate and support validation tasks such as testing and documentation. Why it matters: Validation proves system fitness for use. Example: Ensuring test cases, results, and approvals are documented."
TR,Traceability Management,product-delivery,Behavior,"Ensure traceability across lifecycle",5,10,mid,mid,execution,technical,"What it is: Link requirements, tests, and results. Why it matters: Traceability is required to demonstrate compliance. Example: Showing which test case verifies which requirement."
DM,Defect and Issue Management,product-delivery,Behavior,"Manage defects and issues",5,12,mid,mid,execution,execution,"What it is: Track and resolve defects systematically. Why it matters: Issues must be managed transparently in regulated systems. Example: Recording and resolving system defects during validation."
IM,Impact Management,product-delivery,Behavior,"Assess impact of delivery decisions",6,11,mid,mid,planning,thinking,"What it is: Evaluate how delivery decisions affect systems and processes. Why it matters: Delivery decisions often have broader consequences. Example: Assessing impact of a release on user workflows."
FE,Finanicals Expert,product-delivery,Behavior,"Finanicals Expert Level",6,12,mid,mid,execution,technical,"What it is: Strategic planning and differentiation of OPEX and CAPEX within project financials. Why it matters: Ensures correct accounting treatment, supports investment decisions, and aligns with corporate finance governance, but requires close alignment with finance stakeholders. Example: A PM classifies IT development costs as CAPEX while operational support costs are tracked as OPEX and reported separately."
RL,Release Governance,product-delivery,Behavior,"Define release governance structures",7,10,senior,senior,strategy,technical,"What it is: Establish how releases are governed across products. Why it matters: Ensures controlled and scalable delivery. Example: In case releasing new or changing capabilities will have an impact on connected applications (interfaces/integrations) the change must be coordinated with the connected applications."
CG,Compliance Governance,product-delivery,Behavior,"Ensure compliant delivery processes",7,11,senior,senior,strategy,technical,"What it is: Ensure delivery processes meet regulatory requirements. Why it matters: Delivery must maintain compliance continuously. Example: Defining audit-ready processes."
VL,Validation Lifecycle Strategy,product-delivery,Behavior,"Define validation lifecycle approach",8,11,senior,senior,strategy,technical,"What it is: Define how validation is handled across the system lifecycle. Why it matters: Validation is not a one-time activity. Example: Establishing re-validation principles."
SR,System Risk Management,product-delivery,Behavior,"Manage risks in delivery",8,12,senior,senior,strategy,thinking,"What it is: Identify and mitigate delivery-related risks. Why it matters: Risks can affect compliance and product quality. Example: Recognizing risks of incomplete validation."
TT,Transformation Delivery,product-delivery,Behavior,"Drive large-scale delivery transformations",9,10,senior,senior,strategy,execution,"What it is: Manage delivery in transformation scenarios. Why it matters: Large changes must remain compliant. Example: Migrating systems without losing validated state."
AI,AI-enabled Delivery,product-delivery,AI,"Integrate AI into delivery responsibly",9,11,ai,senior,execution,technical,"What it is: Use AI to support delivery work while maintaining control. Why it matters: AI introduces new risks in regulated environments. Example: Using AI for test support while keeping human validation."
VB,Validation Basics,technical-acumen,Behavior,"Understand why regulated systems must be validated",1,13,junior,junior,execution,technical,"What it is: Understand that computerized systems used in regulated work must be shown to be fit for intended use before they are relied upon. Why it matters: In GxP environments, software cannot simply be released because it works technically; it must also be demonstrably controlled and suitable for the regulated process it supports. For non-specialists, this means the team must prove the system behaves correctly and consistently before it is trusted for quality- or compliance-relevant work. Example: Recognizing that a workflow change in a QMS may need documented testing and approval before go-live."
DI,Data Integrity Basics,technical-acumen,Behavior,"Understand the core principles behind trustworthy data",1,14,junior,junior,execution,technical,"What it is: Understand that regulated data must be complete, attributable, accurate, and available when needed. Why it matters: Data in GxP systems is often used to support decisions, inspections, and evidence of compliance. If that data is unreliable, the organization loses trust and may face regulatory findings. For non-specialists, this means the system must always make it clear who did what, when, and based on which record. Example: A PM should understand why changing a due date without a visible audit trail is a serious problem."
AT,Audit Trail and eSig Awareness,technical-acumen,Behavior,"Understand why Audit Trails & electronic signatures are important",2,14,junior,junior,execution,technical,"What it is: Understand that certain system actions must be automatically recorded in a way that users cannot easily alter or erase and that electronic signatures in GxP systems are more than a button click — they represent identity, intent, and accountability.  Why it matters: Audit trails and electronic signatures are one of the key mechanisms regulators use to confirm that records are trustworthy. For non-specialists, an audit trail is like a permanent history log showing who changed something, when it changed, and often why. Digital approval has to be trustworthy enough to stand in for a handwritten signature. Example: If a user changes the status of a critical record, that event must be visible later during an audit. Electronic signatures information must comply with the given standards (e.g. CFR 21part 11)."
SA,Security and Access Basics,technical-acumen,Behavior,"Understand why access control matters",2,15,junior,junior,execution,technical,"What it is: Understand that users should only be able to see or change what they are authorized to handle. Why it matters: Poor access design can create both compliance and security risks. For non-specialists, this means the system must ensure the right people can do the right things — and no more. Example: Only trained, authorized users should be able to approve regulated content or change system-relevant settings."
LC,Lifecycle Control Basics,technical-acumen,Behavior,"Understand that systems must stay controlled throughout their life",3,14,junior,junior,strategy,technical,"What it is: Understand that systems must be managed from implementation through operation, change, review, and retirement. Why it matters: Validation is not a one-time event. Regulated systems need ongoing control as they evolve. For non-specialists, this means the product does not become 'done' after launch — it must stay compliant over time. Example: A PM should understand why a system upgrade still needs controlled review even years after go-live."

VS,Validation Strategy,technical-acumen,Behavior,"Define how much validation is needed and why",4,13,mid,mid,strategy,technical,"What it is: Design a proportionate validation approach based on intended use and process risk. Why it matters: Not every change needs the same rigor, but teams must be able to justify their decisions. For non-specialists, this means deciding how much evidence is needed to trust a system change without creating unnecessary paperwork. Example: A PM helps define why a low-risk UI change may need lighter verification than a control-relevant workflow change."
RS,Risk-based System Thinking,technical-acumen,Behavior,"Assess technical decisions through a compliance and quality lens",4,15,mid,mid,strategy,thinking,"What it is: Evaluate technical options by considering their effect on product quality, patient safety, and data integrity. Why it matters: GxP environments expect risk-based judgement, not just technical preference. For non-specialists, this means the 'best' technical option is the one that balances practicality, control, and fit-for-purpose use. Example: Choosing a simpler, more transparent design over a more complex but harder-to-validate alternative."

IA,Identity and Access Design,technical-acumen,Behavior,"Design role-based access with control and clarity",5,14,mid,mid,execution,technical,"What it is: Translate roles and responsibilities into a controlled authorization concept. Why it matters: Access design is a core compliance topic because it influences who can change, approve, or view regulated information. For non-specialists, this means the system must reflect real responsibilities safely. Example: Defining that a reviewer may comment on a record, but only a formally authorized approver may sign it."
SM,Supplier and Service Management,technical-acumen,Behavior,"Understand the technical and compliance implications of vendors and SaaS",5,15,mid,mid,strategy,technical,"What it is: Assess how external providers, platforms, and services affect the validated state of the product. Why it matters: Even when software is external, the regulated company remains accountable. For non-specialists, this means outsourcing infrastructure or development does not outsource responsibility. Example: Understanding why vendor release practices, support documentation, and change notification matter for inspection readiness."

CM,Change and Configuration Management,technical-acumen,Behavior,"Control how technical changes are introduced and tracked",6,13,mid,mid,execution,technical,"What it is: Ensure that product changes, configurations, and release states are documented and controlled. Why it matters: Uncontrolled technical change can break validation or create inconsistency between system behavior and documented evidence. For non-specialists, this means the organization must always know what version is running and what changed. Example: Being able to explain which configuration change was introduced in a specific release and why."
PR,Periodic Review Awareness,technical-acumen,Behavior,"Understand why systems need recurring review, not only project-time control",6,14,mid,mid,growth,technical,"What it is: Recognize that regulated systems need regular review of users, audit trails, operations, issues, and change patterns. Why it matters: Compliance depends on maintaining control over time, not only during implementation. For non-specialists, periodic review is like a recurring health check for the product. Example: Reviewing whether user access is still correct and whether recent changes have increased risk."

TG,Technical Governance,technical-acumen,Behavior,"Define how technical decisions are governed across the product lifecycle",7,13,senior,senior,strategy,technical,"What it is: Establish decision frameworks for architecture, validation, supplier use, security, and lifecycle control. Why it matters: Senior PMs must ensure that technical decisions are consistent, explainable, and scalable across the product or platform. For non-specialists, this means teams should not make technical compliance decisions ad hoc. Example: Defining which kinds of changes require stronger validation or governance review."
OM,Operating Model,technical-acumen,Behavior,"Create a sustainable model for keeping systems validated and trustworthy",7,14,senior,senior,strategy,thinking,"What it is: Design the operating model that keeps data integrity and validation practice effective over time. Why it matters: Long-term compliance depends on repeatable routines, clear ownership, and practical governance. For non-specialists, this means the organization needs a stable way of running the system safely, not only a good project launch. Example: Establishing how product, QA, IT, and vendors cooperate on system changes and evidence management."

AR,Architecture and Reuse Strategy,technical-acumen,Behavior,"Shape architecture for control, reuse, and long-term changeability",7,15,senior,senior,strategy,technical,"What it is: Align product architecture with control needs, maintainability, and platform direction. Why it matters: Architecture influences cost, speed, validation effort, and future flexibility. For non-specialists, this means choosing structures that make future compliant changes easier, not harder. Example: Favoring reusable services and clearer interfaces instead of tightly coupled point-to-point complexity."
RG,Regulatory Technology Guardrails,technical-acumen,Behavior,"Define technical boundaries for what is acceptable in regulated product delivery",8,15,senior,senior,strategy,technical,"What it is: Establish clear guardrails for risky or inappropriate technical approaches. Why it matters: Senior PMs need to prevent teams from adopting patterns that create unnecessary compliance exposure. For non-specialists, this means deciding in advance which approaches are acceptable and which are too risky. Example: Defining conditions under which a cloud service or third-party integration may be used in a GxP-relevant context."

AI,AI Validation and Oversight,technical-acumen,AI,"Define how AI-enabled functions can be governed and controlled",9,13,ai,senior,strategy,technical,"What it is: Shape an approach for validating, monitoring, and governing AI-supported product capabilities based on intended use and risk. Why it matters: AI introduces extra expectations around explainability, human oversight, drift monitoring, and lifecycle control. For non-specialists, this means AI cannot simply be added to a regulated product without controls. Example: Requiring that an AI-assisted recommendation remains reviewable and that its performance is monitored after deployment."
EX,Explainability and Traceability for AI,technical-acumen,AI,"Ensure AI-supported decisions remain understandable and reviewable",9,15,ai,senior,execution,technical,"What it is: Design AI-enabled features so inputs, outputs, review actions, and oversight remain traceable. Why it matters: In GxP, black-box decisions are hard to defend. For non-specialists, this means people must still be able to understand why the system suggested or produced something important. Example: Keeping a record of what the AI suggested, who reviewed it, and what was finally approved."
BV,Business Value Basics,business-acumen,Behavior,"Understand how the product creates value",1,16,junior,junior,strategy,thinking,"What it is: Understand in simple terms how the product helps the business, not only how it works technically. Why it matters: Even compliance-oriented IT products must deliver value, such as reducing manual effort, lowering risk, improving inspection readiness, or speeding up regulated work. For non-specialists, this means the product should make an important business process safer, faster, cheaper, or more reliable. Example: Explaining that a new audit-management feature reduces preparation effort and improves evidence availability during inspections."
KB,KPI Basics,business-acumen,Behavior,"Understand which measures indicate product success",1,17,junior,junior,growth,thinking,"What it is: Learn the basic indicators that show whether the product is helping users and the organization. Why it matters: Without measurable outcomes, product decisions easily become opinion-driven. In GxP, useful measures can include overdue actions, audit observations, cycle times, or rework. For non-specialists, this means the PM should be able to answer: how do we know the product is actually helping? Example: Tracking whether a workflow change reduces late CAPA closures."
PE,Process Economics,business-acumen,Behavior,"Understand the cost and effort behind business processes",2,17,junior,junior,execution,thinking,"What it is: Understand that every product-supported process consumes time, people, and budget. Why it matters: Product improvements often create value by reducing manual effort or avoiding repeated work, even if they do not directly generate revenue. For non-specialists, this means the PM should recognize where the organization is spending time and where the product can remove waste. Example: Seeing that manual compilation of compliance evidence consumes many hours before an audit."
CA,Compliance Cost Awareness,business-acumen,Behavior,"Recognize that compliance work also has economic impact",3,17,junior,junior,strategy,thinking,"What it is: Understand that validation, documentation, training, and controls are necessary, but also expensive. Why it matters: A strong PM in a regulated environment must understand both the necessity and the cost of compliance activities. For non-specialists, this means that 'being compliant' is not free; product choices influence how much compliance effort is needed. Example: Recognizing that frequent small releases may increase validation and documentation effort."

BC,Business Case Development,business-acumen,Behavior,"Build and explain a product business case",4,16,mid,mid,strategy,thinking,"What it is: Develop a structured rationale showing why an investment should be made, including expected benefits, costs, risks, and strategic fit. Why it matters: PMI places strong emphasis on business case thinking and value delivery, and this is particularly relevant in regulated product settings where benefits may include both efficiency and risk reduction. For non-specialists, a business case explains why a change is worth doing at all. Example: Justifying investment in automated inspection reporting because it reduces preparation effort and improves readiness."
VM,Value Measurement,business-acumen,Behavior,"Measure whether value is actually being realized",4,18,mid,mid,growth,thinking,"What it is: Track whether promised business outcomes are materializing after delivery. Why it matters: Product value is not fully proven at go-live; it must be observed over time. In GxP, this includes operational, quality, and compliance-related outcomes. For non-specialists, this means the PM does not stop at delivery but checks whether the expected benefit really happened. Example: Measuring whether a new process step reduced deviations or shortened review cycles."
CT,Cost-Risk Tradeoff,business-acumen,Behavior,"Balance cost, benefit, and compliance risk in decisions",5,17,mid,mid,strategy,thinking,"What it is: Evaluate choices by considering not only expected value but also control burden and risk exposure. Why it matters: In regulated IT, the cheapest option is not always acceptable, and the most controlled option is not always efficient. For non-specialists, this means product decisions should balance savings, safety, and practicality. Example: Choosing a solution that slightly costs more but avoids disproportionate validation and audit risk."
